saved_at,date,start,end,location,district,reported_head,memo,feedback,dupe_key
2025-08-15T02:38:46,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,교통 통제가 너무 길어서 버스 지연이 심각합니다.,
2025-08-15T02:39:00,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,집회 구간 안내 표지판이 적어서 시민들이 불편해합니다.,
2025-08-15T02:39:15,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,소음이 심해 인근 상가 영업에 지장이 큽니다.,
2025-08-15T02:39:33,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,경찰 인력이 부족해 안전 관리가 미흡합니다.,
2025-08-15T02:39:50,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,집회 시간대를 좀 더 단축해주면 좋겠습니다.,
2025-08-15T02:40:13,2025-08-15,14:00,16:00,향린교회 → 숭례문R (세종대로 등),종로,1000,,시위대 쓰레기 처리가 제대로 되지 않습니다.,
2025-08-15T02:40:57,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,버스 우회 안내를 실시간으로 더 자주 해주세요.,
2025-08-15T02:41:14,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,집회 장소 주변에 임시 화장실 설치가 필요합니다.,
2025-08-15T02:42:24,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,응급 상황에 대비한 의료 지원 인력이 부족합니다.,
2025-08-15T02:42:38,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,집회 장소 인근 주차 금지 안내가 필요합니다.,
2025-08-15T02:42:53,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,확성기 소리를 줄여주시면 감사하겠습니다.,
2025-08-15T02:43:06,2025-08-15,12:00,14:00,혜화역 1出 → 종1R (종로 등),종로,5000,,행진 경로 안내 지도가 부족합니다.,
2025-08-15T02:43:21,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,주민들을 위한 대체 통행로를 마련해주세요.,
2025-08-15T02:43:31,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,무단 점거 구역 단속을 강화해주세요.,
2025-08-15T02:43:40,2025-08-15,14:00,16:00,향린교회 → 숭례문R (세종대로 등),종로,1000,,집회 관련 정보를 SNS로도 실시간 공유해주세요.,
2025-08-15T02:43:50,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,비 오는 날 집회 시 안전 사고 우려가 있습니다.,
2025-08-15T02:44:02,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,상인 피해 보상을 위한 대책 마련이 필요합니다.,
2025-08-15T02:44:13,2025-08-15,14:00,16:00,향린교회 → 숭례문R (세종대로 등),종로,1000,,집회 시작 전 미리 문자로 공지해주면 좋겠습니다.,
2025-08-15T02:44:22,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,도로 점거 범위를 최소화해 주세요.,
2025-08-15T02:44:32,2025-08-15,12:00,18:00,서울역 4出 → 종3R (봉래동 등),종로,5000,,안전 펜스 설치 구간을 늘려주세요.,
2025-08-21T13:55:37,2025-08-15,12:00,14:00,혜화역 1出 → 종1R <종로 등>,종로,5000,광복절,집회 구역을 줄여주시면 좋을 것 같습니다.,5ba6d85469a1b2e850f690cc2d3671c0
